date,2nd at Townsend to Harry Bridges Plaza,Embarcadero at Sansome to Steuart at Market,2nd at South Park to Market at Sansome,Steuart at Market to Embarcadero at Sansome,Market at Sansomme to 2nd at South Park,San Francisco Caltrain to Harry Bridges Plaza,San Francisco Caltrain to Townsend at 7th,Townsend at 7th to San Francisco Caltrain,Harry Bridges Plaza to 2nd at Townsend,Harry Bridges Plaza to Embarcadero at Sansome
0,117,145,143,127,164,121,215,227,114,195
1,128,168,163,144,200,133,216,258,115,184
2,133,160,154,127,168,146,202,238,119,175
3,134,143,172,116,171,128,209,266,126,189
4,127,129,135,102,129,138,184,237,121,217
5,77,40,11,55,20,66,49,49,75,203
6,41,26,20,45,13,50,40,47,40,166
